team,lat,lng
116,38.984,-77.368
122,37.046,-76.41
339,38.459,-77.431
346,37.392,-77.567
384,37.464,-77.398
401,37.135,-80.419
422,37.55,-77.459
449,39.019,-77.008
539,37.513,-77.565
540,37.52,-77.437
611,38.933,-77.171
612,38.887,-77.446
614,38.76,-77.148
617,37.546,-77.328
619,38.027,-78.481
620,38.898,-77.288
623,38.898,-77.288
686,39.479,-77.348
836,38.352,-76.563
888,39.255,-77.02
977,36.696,-78.919
1080,37.464,-77.398
1086,37.728,-77.554
1111,38.915,-76.542
1123,38.846,-77.324
1137,37.438,-76.354
1262,36.687,-79.869
1389,38.99,-77.154
1413,36.732,-78.531
1418,38.899,-77.189
1446,38.89,-76.938
1522,37.669,-77.329
1598,36.578,-79.441
1599,37.669,-77.329
1610,36.679,-76.939
1629,39.636,-79.308
1719,39.398,-76.672
1727,39.433,-76.655
1731,38.84,-77.891
1793,36.891,-76.24
1885,38.867,-77.644
1895,38.749,-77.488
1908,37.353,-75.946
1915,38.902,-76.99
2028,37.032,-76.32
2068,38.771,-77.449
2106,37.769,-78.011
2186,38.887,-77.446
2199,39.499,-76.91
2363,37.113,-76.518
2377,39.121,-76.495
2421,38.789,-77.282
2534,39.351,-76.632
2537,39.214,-76.879
2819,38.811,-76.99
2849,39.17,-76.854
2890,36.643,-76.242
2900,38.901,-77.05
2912,38.902,-76.99
2914,38.938,-77.086
2961,38.912,-77.018
2988,39.153,-77.969
2998,37.592,-77.495
3072,36.941,-81.094
3136,37.739,-77.478
3258,36.687,-79.869
3274,38.449,-78.871
3359,36.87,-76.387
3361,38.096,-78.993
3373,38.69,-77.836
3389,38.351,-75.534
3455,38.819,-77.148
3650,38.586,-77.009
3714,38.868,-76.816
3748,39.273,-76.861
3793,39.365,-77.464
3939,37.548,-79.712
3941,39.477,-76.121
4099,39.139,-77.407
4242,38.883,-76.99
4286,37.628,-77.34
4456,38.966,-77.068
4464,39,-76.884
4466,38.512,-77.993
4472,38.676,-77.316
4505,39.427,-76.777
4514,38.609,-76.6
4541,39.127,-76.698
4638,39.136,-77.282
4821,38.952,-77.02
4949,38.96,-76.915
5115,39.084,-77.061
5243,38.782,-77.382
5279,37.122,-79.291
5338,39.042,-77.605
5546,37.212,-77.481
5549,38.899,-77.189
5587,38.828,-77.09
5724,37.285,-80.069
5804,37.464,-77.398
5830,39.041,-76.682
5841,39.446,-77.335
5945,39.15,-76.93
5950,36.743,-79.458
5954,36.983,-78.237
5957,37.016,-76.433
6021,36.915,-77.279
6189,37.343,-77.984
6194,37.502,-78.258
6213,38.98,-76.743
6239,38.868,-76.816
6312,37.598,-76.448
6326,39.3,-76.608
6334,37.511,-77.643
6504,38.864,-77.194
6543,38.885,-77.323
6584,39.03,-77.079
6802,37.088,-81.759
6863,39.121,-76.844
6882,38.337,-77.437
6893,38.942,-76.926
7330,37.098,-76.897
7429,37.5062673,-77.649268
7714,38.8950092,-77.0365625
7756,36.7468036,-79.4639158
7770,39.5355063,-76.3490396
7879,39.1928853,-76.7241371
7886,39.4142186,-77.4109269
7901,38.1770634,-75.3926959
