SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,24,000,00000,00000,00000,0,A,Maryland,Maryland,5773552,5773798,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718
162,24,000,00125,00000,00000,0,A,Aberdeen city,Maryland,14959,14982,14976,14985,15034,15100,15368,15512,15534,16029,16053
162,24,000,00225,00000,00000,0,A,Accident town,Maryland,325,325,325,325,322,323,319,316,316,314,312
162,24,000,01600,00000,00000,0,A,Annapolis city,Maryland,38394,38289,38361,38462,38485,38720,38757,39352,39286,39206,39174
162,24,000,04000,00000,00000,0,A,Baltimore city,Maryland,620961,620862,621005,620442,622973,622497,623165,622150,615849,609841,602495
162,24,000,04250,00000,00000,0,A,Barclay town,Maryland,120,173,173,173,171,169,169,169,166,167,167
162,24,000,04475,00000,00000,0,A,Barnesville town,Maryland,172,170,171,173,174,175,178,178,179,179,180
162,24,000,04625,00000,00000,0,A,Barton town,Maryland,457,454,454,449,446,445,441,438,434,431,427
162,24,000,05550,00000,00000,0,A,Bel Air town,Maryland,10120,10100,10149,10187,10252,10242,10182,10106,10051,10027,10044
162,24,000,06800,00000,00000,0,A,Berlin town,Maryland,4485,4480,4485,4459,4532,4528,4524,4497,4579,4625,4818
162,24,000,06925,00000,00000,0,A,Berwyn Heights town,Maryland,3123,3123,3131,3156,3184,3206,3240,3258,3263,3264,3261
162,24,000,07200,00000,00000,0,A,Betterton town,Maryland,345,338,338,334,331,326,327,324,323,319,316
162,24,000,07850,00000,00000,0,A,Bladensburg town,Maryland,9148,8972,8996,9072,9157,9231,9325,9390,9412,9418,9421
162,24,000,08625,00000,00000,0,A,Boonsboro town,Maryland,3336,3442,3445,3454,3454,3452,3435,3442,3492,3546,3579
162,24,000,08775,00000,00000,0,A,Bowie city,Maryland,54727,55335,55498,56041,56621,57155,57811,58287,58485,58596,58682
162,24,000,09500,00000,00000,0,A,Brentwood town,Maryland,3046,3341,3349,3373,3401,3425,3458,3478,3480,3479,3478
162,24,000,10225,00000,00000,0,A,Brookeville town,Maryland,134,133,134,135,137,139,140,140,140,143,144
162,24,000,10575,00000,00000,0,A,Brookview town,Maryland,60,60,60,60,59,59,59,59,59,58,58
162,24,000,10900,00000,00000,0,A,Brunswick city,Maryland,5870,5870,5890,5968,6030,6065,6084,6099,6149,6241,6364
162,24,000,11400,00000,00000,0,A,Burkittsville town,Maryland,151,151,151,154,155,156,156,155,157,161,163
162,24,000,12400,00000,00000,0,A,Cambridge city,Maryland,12326,12416,12457,12567,12481,12552,12522,12482,12399,12361,12285
162,24,000,13000,00000,00000,0,A,Capitol Heights town,Maryland,4337,4307,4317,4356,4397,4435,4480,4512,4521,4523,4524
162,24,000,14325,00000,00000,0,A,Cecilton town,Maryland,663,666,666,670,670,671,671,672,672,672,673
162,24,000,14950,00000,00000,0,A,Centreville town,Maryland,4285,4254,4264,4373,4405,4499,4534,4607,4698,4756,4809
162,24,000,15400,00000,00000,0,A,Charlestown town,Maryland,1183,1177,1179,1183,1183,1185,1189,1190,1191,1191,1195
162,24,000,15925,00000,00000,0,A,Chesapeake Beach town,Maryland,5753,5767,5784,5808,5837,5884,5891,5888,5926,5948,5990
162,24,000,15950,00000,00000,0,A,Chesapeake City town,Maryland,673,691,691,693,694,694,693,695,694,694,693
162,24,000,16225,00000,00000,0,A,Chestertown town,Maryland,5252,5271,5281,5414,5231,5191,5155,5131,5118,5074,5054
162,24,000,16550,00000,00000,0,A,Cheverly town,Maryland,6173,6179,6194,6242,6295,6342,6403,6445,6454,6453,6449
162,24,000,16620,00000,00000,0,A,Chevy Chase town,Maryland,2824,2824,2834,2872,2902,2917,2940,2956,2968,2985,2992
162,24,000,16720,00000,00000,0,A,Chevy Chase Section Five village,Maryland,658,673,676,684,691,695,697,704,706,709,711
162,24,000,16730,00000,00000,0,A,Chevy Chase Section Three village,Maryland,760,750,753,763,770,775,779,783,785,789,791
162,24,000,16775,00000,00000,0,A,Chevy Chase View town,Maryland,920,928,932,944,956,961,967,973,979,984,986
162,24,000,16787,00000,00000,0,A,Chevy Chase Village town,Maryland,1953,1951,1957,1984,2003,2016,2027,2036,2046,2055,2060
162,24,000,17050,00000,00000,0,A,Church Creek town,Maryland,125,125,125,124,123,124,123,123,122,122,121
162,24,000,17100,00000,00000,0,A,Church Hill town,Maryland,745,745,752,752,746,739,740,752,751,759,761
162,24,000,17600,00000,00000,0,A,Clear Spring town,Maryland,358,364,364,364,366,363,361,358,357,358,361
162,24,000,18750,00000,00000,0,A,College Park city,Maryland,30413,30397,30446,31030,31082,31926,32042,32178,32204,32206,32196
162,24,000,18850,00000,00000,0,A,Colmar Manor town,Maryland,1404,1404,1407,1417,1428,1439,1450,1458,1461,1461,1461
162,24,000,20050,00000,00000,0,A,Cottage City town,Maryland,1305,1305,1308,1317,1328,1339,1351,1359,1359,1361,1357
162,24,000,20775,00000,00000,0,A,Crisfield city,Maryland,2726,2722,2713,2678,2660,2663,2629,2621,2601,2604,2571
162,24,000,21325,00000,00000,0,A,Cumberland city,Maryland,20859,20821,20798,20715,20540,20400,20230,20041,19878,19632,19480
162,24,000,22275,00000,00000,0,A,Deer Park town,Maryland,399,383,382,381,380,380,376,372,372,372,370
162,24,000,22600,00000,00000,0,A,Delmar town,Maryland,3003,3092,3097,3114,3138,3131,3124,3154,3179,3193,3231
162,24,000,22725,00000,00000,0,A,Denton town,Maryland,4418,4414,4408,4372,4339,4340,4335,4339,4372,4468,4493
162,24,000,23025,00000,00000,0,A,District Heights city,Maryland,5837,5728,5742,5791,5840,5887,5943,5981,5990,5987,5984
162,24,000,24200,00000,00000,0,A,Eagle Harbor town,Maryland,63,66,66,67,67,68,68,69,70,70,70
162,24,000,24450,00000,00000,0,A,East New Market town,Maryland,400,390,390,386,383,385,383,382,380,378,375
162,24,000,24475,00000,00000,0,A,Easton town,Maryland,15945,16190,16266,16429,16580,16671,16655,16618,16507,16479,16494
162,24,000,25425,00000,00000,0,A,Edmonston town,Maryland,1445,1428,1431,1441,1456,1465,1482,1490,1493,1492,1491
162,24,000,25600,00000,00000,0,A,Eldorado town,Maryland,59,59,59,59,58,58,58,58,58,57,57
162,24,000,25800,00000,00000,0,A,Elkton town,Maryland,15443,15475,15466,15574,15589,15596,15714,15681,15681,15648,15640
162,24,000,26200,00000,00000,0,A,Emmitsburg town,Maryland,2814,2807,2820,2859,2906,2937,3005,3014,3039,3079,3137
162,24,000,27400,00000,00000,0,A,Fairmount Heights town,Maryland,1494,1451,1455,1468,1482,1494,1508,1520,1522,1523,1524
162,24,000,27900,00000,00000,0,A,Federalsburg town,Maryland,2739,2738,2735,2711,2683,2675,2655,2650,2660,2660,2661
162,24,000,28725,00000,00000,0,A,Forest Heights town,Maryland,2447,2469,2475,2495,2517,2535,2559,2574,2576,2574,2571
162,24,000,30325,00000,00000,0,A,Frederick city,Maryland,65239,65287,65454,65951,66404,66833,68288,69409,69952,71052,72146
162,24,000,30850,00000,00000,0,A,Friendsville town,Maryland,491,503,504,503,498,497,492,489,486,486,483
162,24,000,30900,00000,00000,0,A,Frostburg city,Maryland,9002,8983,9009,8890,8747,8763,8706,8658,8663,8616,8564
162,24,000,30950,00000,00000,0,A,Fruitland city,Maryland,4866,4826,4853,4984,5059,5079,5096,5169,5198,5249,5289
162,24,000,31100,00000,00000,0,A,Funkstown town,Maryland,904,882,883,884,884,884,878,875,872,875,872
162,24,000,31175,00000,00000,0,A,Gaithersburg city,Maryland,59933,59903,60189,61442,63044,65688,66540,67115,67636,68031,68289
162,24,000,31225,00000,00000,0,A,Galena town,Maryland,612,610,609,606,601,595,596,592,588,583,580
162,24,000,31250,00000,00000,0,A,Galestown town,Maryland,138,138,138,137,136,136,136,136,135,134,134
162,24,000,31525,00000,00000,0,A,Garrett Park town,Maryland,992,992,996,1009,1021,1026,1034,1039,1043,1050,1050
162,24,000,32500,00000,00000,0,A,Glenarden city,Maryland,6000,5876,5893,5946,6005,6056,6122,6169,6183,6191,6195
162,24,000,32900,00000,00000,0,A,Glen Echo town,Maryland,255,255,256,259,262,265,266,269,269,271,271
162,24,000,33950,00000,00000,0,A,Goldsboro town,Maryland,246,241,241,236,234,235,234,231,233,231,232
162,24,000,34525,00000,00000,0,A,Grantsville town,Maryland,766,890,891,891,891,891,883,879,876,873,868
162,24,000,34775,00000,00000,0,A,Greenbelt city,Maryland,23068,22158,22216,22406,22610,22799,23034,23200,23252,23269,23280
162,24,000,35200,00000,00000,0,A,Greensboro town,Maryland,1931,1912,1910,1893,1873,1869,1861,1861,1869,1873,1878
162,24,000,36075,00000,00000,0,A,Hagerstown city,Maryland,39662,39757,39784,39997,40054,40081,40167,40204,40171,40214,40205
162,24,000,36500,00000,00000,0,A,Hampstead town,Maryland,6323,6307,6311,6308,6311,6318,6330,6327,6328,6352,6387
162,24,000,36600,00000,00000,0,A,Hancock town,Maryland,1545,1560,1560,1561,1559,1556,1549,1542,1543,1544,1541
162,24,000,37600,00000,00000,0,A,Havre de Grace city,Maryland,12952,13003,13038,13289,13436,13494,13471,13465,13468,13563,13792
162,24,000,37875,00000,00000,0,A,Hebron town,Maryland,1084,1080,1082,1091,1096,1090,1080,1083,1085,1085,1093
162,24,000,37925,00000,00000,0,A,Henderson town,Maryland,146,146,146,145,144,144,143,143,141,142,142
162,24,000,38500,00000,00000,0,A,Highland Beach town,Maryland,96,103,103,104,105,106,107,107,109,109,110
162,24,000,39175,00000,00000,0,A,Hillsboro town,Maryland,161,161,161,160,158,158,156,156,157,157,158
162,24,000,41125,00000,00000,0,A,Hurlock town,Maryland,2092,2105,2105,2091,2073,2070,2063,2056,2050,2035,2023
