team,lat,lng,active
122,37.0633919,-76.4113113,True
1610,36.6915536,-76.9480325,True
1793,36.9003379,-76.2403305,True
1908,37.361213,-75.9409335,True
2028,37.0342934,-76.3152426,True
2363,37.0958657,-76.5305491,True
2890,36.648692,-76.216267,True
3359,36.8804329,-76.3709524,True
5957,37.0063855,-76.4271477,True
6312,37.6126199,-76.5491427,True
7330,37.0803228,-76.9041087,True
1446,38.911255,-77.00537,True
1915,38.9145705,-77.0047476,True
2900,38.8980853,-77.0479046,True
2912,38.9021133,-76.972028,True
2914,38.9499898,-77.0776826,True
2961,38.9077814,-77.0129006,True
4242,38.8754169,-76.9986406,True
4456,38.9629825,-77.0549632,True
4821,38.9344089,-77.0243312,True
7714,38.9214669,-77.0283798,True
449,39.0183042,-77.011656,True
686,39.4753683,-77.361571,True
836,38.3583554,-76.5719414,True
888,39.2748582,-77.0033042,True
1111,38.9211853,-76.5587475,True
1389,38.9813702,-77.1276629,True
1629,39.6647486,-79.2975354,True
1719,39.3927463,-76.6770224,True
1727,39.4602989,-76.6124786,True
2199,39.5171128,-76.9115009,True
2377,39.1124859,-76.458342,True
2534,39.372573,-76.6363074,True
2537,39.1883603,-76.880393,True
2819,38.797249,-76.993634,True
2849,39.1678857,-76.8606922,True
3389,38.3495052,-75.5731232,True
3650,38.5557,-77.0241597,True
3714,38.9315185,-76.8351554,True
3748,39.2988257,-76.8404309,True
3793,39.3779387,-77.4457866,True
3941,39.4632824,-76.1203982,True
4099,39.1436109,-77.4191385,True
4464,39.0902367,-76.9025616,True
4505,39.3951377,-76.7771599,True
4514,38.6186141,-76.6079285,True
4541,39.1246688,-76.6463468,True
4638,39.1517183,-77.2795139,True
4949,38.969921,-76.9047169,True
5115,39.0598271,-77.0680187,True
5830,38.9685112,-76.8620327,True
5841,39.4340427,-77.405709,True
5945,39.1511692,-76.9230507,True
6213,38.9781138,-76.7435378,True
6239,38.8159473,-76.7496909,True
6326,39.28554,-76.634442,True
6584,39.031486,-77.0996797,True
6863,39.1368626,-76.8421096,True
6893,38.9392779,-76.9338631,True
7770,39.5615891,-76.2414249,True
7879,39.1679154,-76.734644,True
7886,39.4168046,-77.4273195,True
7901,38.1688253,-75.3895828,True
346,37.3886517,-77.4947041,True
384,37.6293221,-77.5484403,True
422,37.5580475,-77.4534718,True
539,37.5501574,-77.594877,True
540,37.6198682,-77.6049887,True
617,37.5393214,-77.3241222,True
1080,37.6307265,-77.5439961,True
1086,37.6748281,-77.5986456,True
1522,37.688381,-77.3847555,True
1599,37.6643108,-77.4108152,True
2106,37.6999568,-77.8965156,True
2998,37.5714775,-77.4863025,True
3136,37.7856336,-77.5341359,True
4286,37.612744,-77.3404205,True
5546,37.225862,-77.411348,True
5804,37.5810227,-77.5858328,True
6021,36.9200764,-77.2539662,True
6189,37.3312338,-77.9880657,True
6334,37.5240541,-77.6655599,True
7429,37.4066547,-77.660991,True
7756,37.2899315,-77.3150379,True
977,36.7311065,-78.9087922,True
1262,36.693091,-79.8764869,True
1413,36.7054767,-78.4962415,True
1598,36.5857022,-79.4123554,True
3258,36.694801,-79.8616497,True
5950,36.669493,-79.524529,True
5954,36.9880195,-78.2159615,True
401,37.1462635,-80.4174256,True
619,38.0355024,-78.5210647,True
3072,36.9404705,-81.1006584,True
3274,38.4417495,-78.9102137,True
3361,38.1156721,-78.9892219,True
3939,37.5468002,-79.7258739,True
4466,38.4728288,-77.9975816,True
5279,37.1095512,-79.2959421,True
5724,37.2928841,-80.0782943,True
6194,37.4910154,-78.2468916,True
6802,37.00533,-81.79699,True
116,38.9861238,-77.3749377,True
339,38.4674556,-77.4559935,True
611,38.9499727,-77.1667348,True
612,38.8803724,-77.4067336,True
614,38.7504604,-77.1430537,True
620,38.8963437,-77.2787547,True
623,38.8773322,-77.2826921,True
1123,38.7045589,-77.2273628,True
1418,38.896659,-77.1914112,True
1731,38.772644,-77.904465,True
1885,38.8450007,-77.6304667,True
1895,38.7473383,-77.4677851,True
2068,38.7633778,-77.4493542,True
2186,38.8850828,-77.4641865,True
2421,38.7892801,-77.1872036,True
2988,39.1625514,-77.9905698,True
3373,38.7346199,-77.8019512,True
3455,38.8185123,-77.1687535,True
4472,38.6814935,-77.3020313,True
5243,38.8251507,-77.4110698,True
5338,39.1152437,-77.5825891,True
5549,38.9057328,-77.2122572,True
5587,38.8241435,-77.0855663,True
6504,38.8619112,-77.2063375,True
6543,38.8852631,-77.3020624,True
6882,38.253781,-77.493927,True
7,39.3886387,-76.5393877,False
53,38.994039,-76.8694496,False
345,36.8507689,-76.2858726,False
388,37.2834515,-82.0626754,False
405,37.570903,-77.429897,False
616,36.7006951,-77.1065246,False
769,36.7796829,-76.1006446,False
975,37.552284,-77.649329,False
1033,37.5805987,-77.674697,False
1095,36.7870821,-79.4022473,False
1137,37.4501011,-76.3254096,True
1541,37.4961717,-77.6603289,False
1829,37.8431229,-75.4779349,False
2021,38.253781,-77.493927,False
