SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,36,000,00000,00000,00000,0,A,New York,New York,19378102,19378124,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209
162,36,000,00199,00000,00000,0,A,Adams village,New York,1775,1784,1791,1815,1852,1829,1826,1810,1756,1760,1741
162,36,000,00276,00000,00000,0,A,Addison village,New York,1763,1763,1762,1760,1745,1737,1724,1709,1696,1682,1666
162,36,000,00342,00000,00000,0,A,Afton village,New York,822,835,833,831,827,821,819,813,808,801,800
162,36,000,00408,00000,00000,0,A,Airmont village,New York,8628,8625,8644,8716,8742,8784,8799,8792,8771,8781,8771
162,36,000,00441,00000,00000,0,A,Akron village,New York,2868,2888,2887,2878,2876,2879,2877,2865,2860,2853,2855
162,36,000,01000,00000,00000,0,A,Albany city,New York,97856,97841,97744,97940,98399,98487,98370,98234,97939,97726,97279
162,36,000,01033,00000,00000,0,A,Albion village,New York,6056,6073,6074,5979,5949,6058,6052,5981,5943,5859,5831
162,36,000,01088,00000,00000,0,A,Alden village,New York,2605,2605,2604,2598,2610,2607,2597,2584,2568,2565,2564
162,36,000,01154,00000,00000,0,A,Alexander village,New York,509,509,511,510,508,502,498,500,497,497,493
162,36,000,01187,00000,00000,0,A,Alexandria Bay village,New York,1078,1075,1073,1087,1110,1095,1094,1085,1053,1054,1044
162,36,000,01198,00000,00000,0,A,Alfred village,New York,4174,4175,4176,4123,4050,4028,4062,4065,4072,4011,4008
162,36,000,01286,00000,00000,0,A,Allegany village,New York,1816,1805,1802,1789,1775,1765,1754,1735,1727,1712,1717
162,36,000,01440,00000,00000,0,A,Almond village,New York,466,466,466,464,460,457,454,450,446,441,440
162,36,000,01517,00000,00000,0,A,Altamont village,New York,1720,1715,1713,1714,1713,1712,1709,1700,1706,1695,1683
162,36,000,01737,00000,00000,0,A,Ames village,New York,145,145,145,143,142,141,141,140,140,139,140
