name,state,pop
New York,New York,8398748
Hempstead,New York,768103
Brookhaven,New York,482436
Islip,New York,330914
Oyster Bay,New York,298388
Buffalo,New York,256304
North Hempstead,New York,231117
Babylon,New York,210363
Rochester,New York,206284
Huntington,New York,201546
Yonkers,New York,199663
Syracuse,New York,142749
Ramapo,New York,136848
Amherst,New York,125659
Smithtown,New York,116384
Albany,New York,97279
Greece,New York,95809
Greenburgh,New York,91338
Clarkstown,New York,86329
Cheektowaga,New York,86181
Colonie,New York,83194
New Rochelle,New York,78742
Tonawanda,New York,71939
Mount Vernon,New York,67593
Schenectady,New York,65575
Utica,New York,60100
Clay,New York,59360
Hamburg,New York,58626
Southampton,New York,58314
White Plains,New York,58111
Union,New York,53251
Orangetown,New York,50092
Irondequoit,New York,49927
Troy,New York,49374
Niagara Falls,New York,48144
Perinton,New York,46902
Rye,New York,46533
West Seneca,New York,45325
Mount Pleasant,New York,44988
Webster,New York,44878
Binghamton,New York,44785
Poughkeepsie,New York,44035
Henrietta,New York,43557
Lancaster,New York,43270
Freeport,New York,43044
Cortlandt,New York,42380
Ossining,New York,37958
Valley Stream,New York,37523
Penfield,New York,37281
Haverstraw,New York,37049
Clifton Park,New York,36566
Yorktown,New York,36394
Brighton,New York,36098
Guilderland,New York,35752
Bethlehem,New York,35093
Carmel,New York,34245
Riverhead,New York,33539
Long Beach,New York,33534
Eastchester,New York,33033
Clarence,New York,32641
Salina,New York,32484
Spring Valley,New York,32261
Rome,New York,32204
Manlius,New York,31737
Warwick,New York,31185
Ithaca,New York,30999
Newburgh,New York,30975
Cicero,New York,30715
North Tonawanda,New York,30372
Rotterdam,New York,29771
Mamaroneck,New York,29563
Orchard Park,New York,29538
East Fishkill,New York,29430
Jamestown,New York,29315
Glenville,New York,29306
Port Chester,New York,29282
Pittsford,New York,29265
Wallkill,New York,29062
Chili,New York,28540
Gates,New York,28380
Vestal,New York,28199
Saratoga Springs,New York,28005
Harrison,New York,27896
Middletown,New York,27815
New Windsor,New York,27664
Queensbury,New York,27471
Elmira,New York,27204
Glen Cove,New York,27201
Lindenhurst,New York,26902
Wappinger,New York,26593
Auburn,New York,26454
Palm Tree,New York,25436
Kiryas Joel,New York,25292
Watertown,New York,25290
De Witt,New York,25093
Rockville Centre,New York,24602
Halfmoon,New York,24584
Peekskill,New York,24173
Camillus,New York,24161
Montgomery,New York,24022
