SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,51,000,00000,00000,00000,0,A,Virginia,Virginia,8001024,8001055,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685
162,51,000,00148,00000,00000,0,A,Abingdon town,Virginia,8191,8206,8207,8161,8155,8131,8093,8040,8034,7985,7963
162,51,000,00180,00000,00000,0,A,Accomac town,Virginia,519,509,502,508,508,497,498,503,494,493,487
162,51,000,00724,00000,00000,0,A,Alberta town,Virginia,298,298,298,293,291,289,286,284,281,280,275
162,51,000,01000,00000,00000,0,A,Alexandria city,Virginia,139966,140008,140740,144220,147314,149674,151431,153863,157045,159654,160530
162,51,000,01528,00000,00000,0,A,Altavista town,Virginia,3450,3452,3456,3443,3445,3449,3455,3451,3443,3428,3414
162,51,000,01672,00000,00000,0,A,Amherst town,Virginia,2231,2231,2232,2213,2223,2208,2197,2202,2196,2197,2185
162,51,000,02040,00000,00000,0,A,Appalachia town,Virginia,1754,1753,1752,1745,1725,1705,1665,1641,1617,1591,1566
162,51,000,02072,00000,00000,0,A,Appomattox town,Virginia,1733,1716,1723,1722,1736,1744,1744,1759,1758,1778,1792
162,51,000,03368,00000,00000,0,A,Ashland town,Virginia,7225,7255,7258,7185,7310,7332,7366,7548,7697,7788,7840
162,51,000,05544,00000,00000,0,A,Bedford town,Virginia,6222,6552,6565,6505,6446,6425,6487,6525,6538,6556,6585
162,51,000,05912,00000,00000,0,A,Belle Haven town,Virginia,532,522,521,521,520,516,515,513,511,506,502
162,51,000,06968,00000,00000,0,A,Berryville town,Virginia,4185,4182,4179,4222,4237,4246,4262,4262,4276,4321,4342
162,51,000,07480,00000,00000,0,A,Big Stone Gap town,Virginia,5614,5629,5623,5620,5581,5542,5448,5388,5330,5269,5218
162,51,000,07784,00000,00000,0,A,Blacksburg town,Virginia,42620,42528,42584,42618,42645,43490,43703,43829,44598,44455,44678
162,51,000,07832,00000,00000,0,A,Blackstone town,Virginia,3621,3620,3610,3606,3558,3524,3519,3453,3406,3402,3387
162,51,000,08120,00000,00000,0,A,Bloxom town,Virginia,387,381,381,382,382,378,377,376,375,371,369
162,51,000,08152,00000,00000,0,A,Bluefield town,Virginia,5444,5407,5401,5372,5312,5293,5219,5192,4866,4720,4882
162,51,000,08584,00000,00000,0,A,Boones Mill town,Virginia,239,236,236,236,235,234,233,235,234,235,234
162,51,000,08888,00000,00000,0,A,Bowling Green town,Virginia,1111,1109,1110,1113,1121,1130,1148,1152,1155,1166,1178
162,51,000,08984,00000,00000,0,A,Boyce town,Virginia,589,600,599,605,607,611,612,613,615,622,625
162,51,000,09016,00000,00000,0,A,Boydton town,Virginia,431,431,431,427,427,419,417,417,414,413,410
162,51,000,09032,00000,00000,0,A,Boykins town,Virginia,564,564,563,559,555,550,545,541,537,532,526
162,51,000,09208,00000,00000,0,A,Branchville town,Virginia,114,122,122,121,119,118,117,116,117,116,114
162,51,000,09656,00000,00000,0,A,Bridgewater town,Virginia,5644,5639,5643,5741,5737,5822,5902,5843,5988,6074,6106
162,51,000,09816,00000,00000,0,A,Bristol city,Virginia,17835,17739,17767,17716,17695,17390,17199,17041,16843,16650,16482
162,51,000,10040,00000,00000,0,A,Broadway town,Virginia,3691,3693,3698,3718,3735,3746,3768,3802,3842,3890,3941
162,51,000,10072,00000,00000,0,A,Brodnax town,Virginia,298,294,294,289,287,285,281,281,278,278,274
162,51,000,10296,00000,00000,0,A,Brookneal town,Virginia,1112,1112,1113,1109,1111,1111,1113,1112,1110,1104,1100
162,51,000,10744,00000,00000,0,A,Buchanan town,Virginia,1178,1175,1176,1169,1171,1167,1169,1175,1170,1170,1171
162,51,000,11032,00000,00000,0,A,Buena Vista city,Virginia,6650,6607,6611,6710,6746,6652,6550,6533,6362,6313,6237
162,51,000,11560,00000,00000,0,A,Burkeville town,Virginia,432,432,430,431,426,420,421,412,406,407,405
162,51,000,12808,00000,00000,0,A,Cape Charles town,Virginia,1009,1009,1011,1016,994,978,980,1005,1023,1012,1003
162,51,000,12904,00000,00000,0,A,Capron town,Virginia,166,164,164,162,160,161,159,158,157,155,153
162,51,000,13784,00000,00000,0,A,Cedar Bluff town,Virginia,1137,1130,1129,1116,1105,1098,1081,1068,1052,1028,1016
162,51,000,14952,00000,00000,0,A,Charlotte Court House town,Virginia,543,543,541,540,535,530,526,526,521,520,515
162,51,000,14968,00000,00000,0,A,Charlottesville city,Virginia,43475,43425,43463,43758,44580,45013,45522,46433,47236,47902,48117
162,51,000,14984,00000,00000,0,A,Chase City town,Virginia,2351,2344,2345,2329,2315,2286,2273,2259,2247,2236,2226
162,51,000,15000,00000,00000,0,A,Chatham town,Virginia,1269,1269,1476,1473,1484,1482,1465,1466,1459,1441,1438
162,51,000,15112,00000,00000,0,A,Cheriton town,Virginia,487,485,486,487,480,473,471,471,467,460,451
162,51,000,16000,00000,00000,0,A,Chesapeake city,Virginia,222209,222306,223550,225332,228075,230330,233380,235168,237591,240327,242634
162,51,000,16480,00000,00000,0,A,Chilhowie town,Virginia,1781,1811,1810,1803,1795,1787,1780,1766,1753,1735,1721
162,51,000,16512,00000,00000,0,A,Chincoteague town,Virginia,2941,2941,2937,2937,2943,2915,2912,2909,2911,2890,2879
162,51,000,16608,00000,00000,0,A,Christiansburg town,Virginia,21041,20965,21004,21142,21467,21570,21740,21817,21956,22190,22505
162,51,000,16880,00000,00000,0,A,Claremont town,Virginia,378,372,372,364,360,357,356,350,343,341,338
162,51,000,16992,00000,00000,0,A,Clarksville town,Virginia,1139,1240,1240,1232,1225,1210,1203,1195,1190,1184,1178
162,51,000,17296,00000,00000,0,A,Cleveland town,Virginia,202,193,193,191,188,188,185,183,181,178,175
162,51,000,17376,00000,00000,0,A,Clifton town,Virginia,282,282,283,288,292,294,292,295,294,294,295
162,51,000,17440,00000,00000,0,A,Clifton Forge town,Virginia,3884,3886,3870,3854,3820,3789,3703,3652,3632,3565,3508
162,51,000,17504,00000,00000,0,A,Clinchco town,Virginia,337,335,334,332,329,324,321,316,310,305,301
162,51,000,17536,00000,00000,0,A,Clinchport town,Virginia,70,70,70,69,69,69,68,67,66,65,64
162,51,000,17552,00000,00000,0,A,Clintwood town,Virginia,1414,1449,1446,1436,1423,1404,1387,1366,1343,1322,1304
162,51,000,17952,00000,00000,0,A,Coeburn town,Virginia,2139,2040,2044,2040,2024,2014,1980,1956,1931,1904,1877
162,51,000,18400,00000,00000,0,A,Colonial Beach town,Virginia,3542,3540,3543,3566,3535,3533,3512,3539,3551,3569,3587
162,51,000,18448,00000,00000,0,A,Colonial Heights city,Virginia,17411,17410,17339,17280,17380,17483,17440,17482,17535,17676,17833
162,51,000,19600,00000,00000,0,A,Courtland town,Virginia,1284,1281,1280,1274,1265,1255,1246,1240,1234,1223,1213
162,51,000,19728,00000,00000,0,A,Covington city,Virginia,5961,5954,5943,5916,5845,5830,5775,5661,5539,5474,5460
162,51,000,19904,00000,00000,0,A,Craigsville town,Virginia,923,918,916,917,916,920,919,922,925,926,929
162,51,000,20160,00000,00000,0,A,Crewe town,Virginia,2326,2326,2320,2315,2282,2257,2256,2210,2179,2175,2166
162,51,000,20752,00000,00000,0,A,Culpeper town,Virginia,16379,16658,16705,16886,17106,17385,17657,17815,18083,18409,18619
162,51,000,21184,00000,00000,0,A,Damascus town,Virginia,814,807,807,804,802,802,798,793,794,791,789
162,51,000,21344,00000,00000,0,A,Danville city,Virginia,43055,43077,42921,42642,42709,42630,42267,41937,41641,41022,40693
162,51,000,21648,00000,00000,0,A,Dayton town,Virginia,1530,1541,1543,1548,1554,1556,1562,1574,1589,1608,1625
162,51,000,22160,00000,00000,0,A,Dendron town,Virginia,272,273,271,267,263,261,260,256,251,250,248
162,51,000,22560,00000,00000,0,A,Dillwyn town,Virginia,447,444,442,447,444,446,442,443,442,442,440
162,51,000,23376,00000,00000,0,A,Drakes Branch town,Virginia,530,533,531,529,525,519,514,514,511,511,502
162,51,000,23648,00000,00000,0,A,Dublin town,Virginia,2534,2534,2526,2559,2649,2695,2678,2653,2670,2647,2595
162,51,000,23680,00000,00000,0,A,Duffield town,Virginia,91,90,90,89,89,88,87,86,84,84,83
162,51,000,23760,00000,00000,0,A,Dumfries town,Virginia,4961,4961,4992,5076,5152,5189,5189,5232,5231,5237,5234
162,51,000,23952,00000,00000,0,A,Dungannon town,Virginia,332,322,322,319,318,315,313,308,304,301,298
162,51,000,24752,00000,00000,0,A,Eastville town,Virginia,305,174,174,175,171,169,169,171,170,168,165
162,51,000,25008,00000,00000,0,A,Edinburg town,Virginia,1041,1037,1038,1042,1048,1048,1052,1054,1055,1064,1068
162,51,000,25408,00000,00000,0,A,Elkton town,Virginia,2726,2729,2730,2744,2750,2758,2769,2790,2817,2847,2881
162,51,000,25808,00000,00000,0,A,Emporia city,Virginia,5927,5925,5920,5840,5812,5693,5597,5525,5370,5292,5121
162,51,000,26416,00000,00000,0,A,Exmore town,Virginia,1460,1462,1464,1468,1445,1425,1426,1425,1415,1398,1378
162,51,000,26496,00000,00000,0,A,Fairfax city,Virginia,22565,22554,22615,22463,22898,23236,23315,23439,23835,24162,24574
162,51,000,27200,00000,00000,0,A,Falls Church city,Virginia,12332,12279,12434,12695,13123,13398,13454,13837,13782,14489,14772
162,51,000,27440,00000,00000,0,A,Farmville town,Virginia,8216,8218,8222,8168,8138,8027,8180,8127,8072,7836,7872
162,51,000,27824,00000,00000,0,A,Fincastle town,Virginia,353,353,353,341,339,341,341,345,342,339,341
162,51,000,28544,00000,00000,0,A,Floyd town,Virginia,425,428,429,431,431,433,434,434,436,439,439
162,51,000,29600,00000,00000,0,A,Franklin city,Virginia,8582,8580,8581,8447,8485,8542,8399,8334,8183,8125,8013
162,51,000,29744,00000,00000,0,A,Fredericksburg city,Virginia,24286,24178,24354,25750,27176,27819,28254,28054,28379,28516,29144
162,51,000,29920,00000,00000,0,A,Fries town,Virginia,484,483,481,476,468,466,464,463,458,452,450
162,51,000,29968,00000,00000,0,A,Front Royal town,Virginia,14440,14425,14448,14479,14563,14817,16162,14759,15071,14987,15221
162,51,000,30208,00000,00000,0,A,Galax city,Virginia,7042,6989,6991,6846,6855,6935,6904,6798,6576,6487,6423
162,51,000,30496,00000,00000,0,A,Gate City town,Virginia,2034,2048,2047,2031,2024,2003,1979,1946,1919,1899,1877
162,51,000,31056,00000,00000,0,A,Glade Spring town,Virginia,1456,1461,1462,1456,1454,1452,1445,1434,1435,1431,1430
162,51,000,31136,00000,00000,0,A,Glasgow town,Virginia,1133,1115,1114,1118,1113,1110,1115,1110,1109,1104,1111
162,51,000,31376,00000,00000,0,A,Glen Lyn town,Virginia,115,103,103,102,101,101,100,99,100,99,100
162,51,000,31936,00000,00000,0,A,Gordonsville town,Virginia,1496,1481,1481,1499,1511,1524,1535,1547,1553,1577,1605
162,51,000,31968,00000,00000,0,A,Goshen town,Virginia,361,370,369,372,370,370,370,370,369,369,370
162,51,000,33232,00000,00000,0,A,Gretna town,Virginia,1267,1273,1271,1262,1254,1245,1240,1232,1224,1215,1205
162,51,000,33488,00000,00000,0,A,Grottoes town,Virginia,2668,2673,2676,2688,2698,2705,2720,2742,2770,2803,2839
162,51,000,33648,00000,00000,0,A,Grundy town,Virginia,1021,1014,1013,1003,1001,993,978,963,940,923,912
162,51,000,34064,00000,00000,0,A,Halifax town,Virginia,1309,1309,1283,1284,1294,1251,1244,1242,1234,1226,1224
162,51,000,34176,00000,00000,0,A,Hallwood town,Virginia,206,206,206,206,206,205,204,204,203,202,200
162,51,000,34240,00000,00000,0,A,Hamilton town,Virginia,506,509,514,530,548,566,586,603,621,638,635
162,51,000,35000,00000,00000,0,A,Hampton city,Virginia,137436,137384,137336,136528,137083,137243,137597,136187,135238,134581,134313
162,51,000,35624,00000,00000,0,A,Harrisonburg city,Virginia,48914,48900,48991,49932,51315,51550,52558,52755,53701,53907,54033
162,51,000,35976,00000,00000,0,A,Haymarket town,Virginia,1782,1518,1529,1562,1635,1680,1691,1706,1706,1717,1715
162,51,000,36008,00000,00000,0,A,Haysi town,Virginia,498,501,487,488,493,483,480,488,480,477,474
162,51,000,36648,00000,00000,0,A,Herndon town,Virginia,23292,23292,23399,23837,24297,24457,24520,24509,24480,24498,24545
162,51,000,37288,00000,00000,0,A,Hillsboro town,Virginia,80,139,140,145,149,155,157,163,167,173,170
162,51,000,37336,00000,00000,0,A,Hillsville town,Virginia,2681,2729,2726,2724,2701,2697,2672,2677,2659,2659,2653
162,51,000,38280,00000,00000,0,A,Honaker town,Virginia,1449,1451,1448,1438,1426,1421,1408,1397,1373,1355,1343
162,51,000,38424,00000,00000,0,A,Hopewell city,Virginia,22591,22591,22642,22498,22308,22161,22109,22228,22553,22554,22596
162,51,000,39224,00000,00000,0,A,Hurt town,Virginia,1304,1300,1297,1291,1282,1273,1270,1260,1252,1245,1234
162,51,000,39528,00000,00000,0,A,Independence town,Virginia,947,948,945,936,925,925,921,918,912,902,901
162,51,000,40024,00000,00000,0,A,Iron Gate town,Virginia,388,392,391,390,385,383,375,371,370,362,358
162,51,000,40088,00000,00000,0,A,Irvington town,Virginia,432,432,430,427,421,413,410,408,405,405,404
162,51,000,40232,00000,00000,0,A,Ivor town,Virginia,339,339,338,335,334,330,327,325,323,318,313
162,51,000,40536,00000,00000,0,A,Jarratt town,Virginia,638,638,637,628,624,618,615,604,593,595,590
162,51,000,41272,00000,00000,0,A,Jonesville town,Virginia,1034,1019,1019,1018,1012,997,979,970,956,949,940
162,51,000,41656,00000,00000,0,A,Keller town,Virginia,178,178,178,178,178,176,175,175,174,173,172
162,51,000,41832,00000,00000,0,A,Kenbridge town,Virginia,1257,1264,1263,1262,1244,1233,1238,1223,1214,1206,1189
162,51,000,42264,00000,00000,0,A,Keysville town,Virginia,832,832,831,825,818,810,803,803,799,795,787
162,51,000,42424,00000,00000,0,A,Kilmarnock town,Virginia,1487,1488,1485,1475,1459,1439,1428,1423,1416,1418,1418
162,51,000,43176,00000,00000,0,A,La Crosse town,Virginia,604,601,601,597,594,589,587,583,581,577,576
162,51,000,44520,00000,00000,0,A,Lawrenceville town,Virginia,1438,1444,1442,1396,1312,1088,1075,1070,1056,1053,1034
162,51,000,44696,00000,00000,0,A,Lebanon town,Virginia,3424,3435,3431,3406,3376,3365,3334,3305,3256,3213,3178
